Year,Age,Level,Employer,Role,Coach
2012,33,NFL,Washington Redskins,Quarterbacks,Matt LaFleur
2013,34,NFL,Washington Redskins,Quarterbacks,Matt LaFleur
2014,35,College (FBS),Notre Dame,Quarterbacks,Matt LaFleur
2015,36,NFL,Atlanta Falcons,Quarterbacks,Matt LaFleur
2016,37,NFL,Atlanta Falcons,Quarterbacks,Matt LaFleur
2017,38,NFL,Los Angeles Rams,Offensive Coordinator,Matt LaFleur
2018,39,NFL,Tennessee Titans,Offensive Coordinator,Matt LaFleur
2019,40,NFL,Green Bay Packers,Head Coach,Matt LaFleur
2020,41,NFL,Green Bay Packers,Head Coach,Matt LaFleur
2021,42,NFL,Green Bay Packers,Head Coach,Matt LaFleur
2022,43,NFL,Green Bay Packers,Head Coach,Matt LaFleur
2003,24,College (FBS),UCLA,Graduate Assistant,Kyle Shanahan
2004,25,NFL,Tampa Bay Buccaneers,Offensive Quality Control,Kyle Shanahan
2005,26,NFL,Tampa Bay Buccaneers,Offensive Quality Control,Kyle Shanahan
2006,27,NFL,Houston Texans,Wide Receivers,Kyle Shanahan
2007,28,NFL,Houston Texans,Quarterbacks,Kyle Shanahan
2008,29,NFL,Houston Texans,Offensive Coordinator,Kyle Shanahan
2009,30,NFL,Houston Texans,Offensive Coordinator,Kyle Shanahan
2010,31,NFL,Washington Redskins,Offensive Coordinator,Kyle Shanahan
2011,32,NFL,Washington Redskins,Offensive Coordinator,Kyle Shanahan
2012,33,NFL,Washington Redskins,Offensive Coordinator,Kyle Shanahan
2013,34,NFL,Washington Redskins,Offensive Coordinator,Kyle Shanahan
2014,35,NFL,Cleveland Browns,Offensive Coordinator,Kyle Shanahan
2015,36,NFL,Atlanta Falcons,Offensive Coordinator,Kyle Shanahan
2016,37,NFL,Atlanta Falcons,Offensive Coordinator,Kyle Shanahan
2017,38,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator,Kyle Shanahan
2018,39,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator,Kyle Shanahan
2019,40,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator,Kyle Shanahan
2020,41,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator,Kyle Shanahan
2021,42,NFL,San Francisco 49ers,Head Coach,Kyle Shanahan
2022,43,NFL,San Francisco 49ers,Head Coach,Kyle Shanahan
2006,45,NFL,Indianapolis Colts,Intern,Frank Reich
2007,46,NFL,Indianapolis Colts,Intern,Frank Reich
2008,47,NFL,Indianapolis Colts,Offensive Asst.,Frank Reich
2009,48,NFL,Indianapolis Colts,Offensive Asst.,Frank Reich
2010,49,NFL,Indianapolis Colts,Offensive Asst.,Frank Reich
2011,50,NFL,Indianapolis Colts,Offensive Asst.,Frank Reich
2012,51,NFL,Arizona Cardinals,Wide Receivers,Frank Reich
2013,52,NFL,San Diego Chargers,Quarterbacks,Frank Reich
2014,53,NFL,San Diego Chargers,Offensive Coordinator,Frank Reich
2015,54,NFL,San Diego Chargers,Offensive Coordinator,Frank Reich
2016,55,NFL,Philadelphia Eagles,Offensive Coordinator,Frank Reich
2017,56,NFL,Philadelphia Eagles,Offensive Coordinator,Frank Reich
2018,57,NFL,Indianapolis Colts,Head Coach,Frank Reich
2019,58,NFL,Indianapolis Colts,Head Coach,Frank Reich
2020,59,NFL,Indianapolis Colts,Head Coach,Frank Reich
2021,60,NFL,Indianapolis Colts,Head Coach,Frank Reich
2022,61,NFL,Indianapolis Colts,Head Coach,Frank Reich
2008,29,College (FBS),Houston,Offensive Quality Control,Kliff Kingsbury
2009,30,College (FBS),Houston,Offensive Quality Control,Kliff Kingsbury
2010,31,College (FBS),Houston,Offensive Coordinator/QB,Kliff Kingsbury
2011,32,College (FBS),Houston,Offensive Coordinator/QB,Kliff Kingsbury
2012,33,College (FBS),Texas A&M,Offensive Coordinator/QB,Kliff Kingsbury
2013,34,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2014,35,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2015,36,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2016,37,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2017,38,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2018,39,College (FBS),Texas Tech,Head Coach,Kliff Kingsbury
2019,40,NFL,Arizona Cardinals,Head Coach,Kliff Kingsbury
2020,41,NFL,Arizona Cardinals,Head Coach,Kliff Kingsbury
2021,42,NFL,Arizona Cardinals,Head Coach,Kliff Kingsbury
2022,43,NFL,Arizona Cardinals,Head Coach,Kliff Kingsbury
2006,24,NFL,Minnesota Vikings,Assistant,Kevin Stefanski
2007,25,NFL,Minnesota Vikings,Assistant,Kevin Stefanski
2008,26,NFL,Minnesota Vikings,Assistant,Kevin Stefanski
2009,27,NFL,Minnesota Vikings,Asst. QB Coach,Kevin Stefanski
2010,28,NFL,Minnesota Vikings,Asst. QB Coach,Kevin Stefanski
2011,29,NFL,Minnesota Vikings,Asst. QB Coach,Kevin Stefanski
2012,30,NFL,Minnesota Vikings,Asst. QB Coach,Kevin Stefanski
2013,31,NFL,Minnesota Vikings,Asst. QB Coach,Kevin Stefanski
2014,32,NFL,Minnesota Vikings,Tight Ends,Kevin Stefanski
2015,33,NFL,Minnesota Vikings,Tight Ends,Kevin Stefanski
2016,34,NFL,Minnesota Vikings,Running Backs,Kevin Stefanski
2017,35,NFL,Minnesota Vikings,Quarterbacks,Kevin Stefanski
2018,36,NFL,Minnesota Vikings,Quarterbacks,Kevin Stefanski
2019,37,NFL,Minnesota Vikings,Offensive Coordinator,Kevin Stefanski
2020,38,NFL,Cleveland Browns,Head Coach,Kevin Stefanski
2021,39,NFL,Cleveland Browns,Head Coach,Kevin Stefanski
2022,40,NFL,Cleveland Browns,Head Coach,Kevin Stefanski
2008,25,College,Texas A&M,Graduate Assistant,Zac Taylor
2009,26,College,Texas A&M,Graduate Assistant,Zac Taylor
2010,27,College,Texas A&M,Graduate Assistant,Zac Taylor
2011,28,College,Texas A&M,Graduate Assistant,Zac Taylor
2012,29,NFL,Miami Dolphins,Asst. QB Coach,Zac Taylor
2013,30,NFL,Miami Dolphins,QB Coach,Zac Taylor
2014,31,NFL,Miami Dolphins,QB Coach,Zac Taylor
2015,32,NFL,Miami Dolphins,QB Coach/Interim OC,Zac Taylor
2016,33,College,Cincinnati,Offensive Coordinator/QB,Zac Taylor
2017,34,NFL,Los Angeles Rams,Assistant Wide Receivers,Zac Taylor
2018,35,NFL,Los Angeles Rams,Quarterbacks,Zac Taylor
2019,36,NFL,Cincinnati Bengals,Head Coach,Zac Taylor
2020,37,NFL,Cincinnati Bengals,Head Coach,Zac Taylor
2021,38,NFL,Cincinnati Bengals,Head Coach,Zac Taylor
2022,39,NFL,Cincinnati Bengals,Head Coach,Zac Taylor
1998,23,College (NCAA D-III),Albright (PA),Linebackers,Matt Rhule
1999,24,College (FBS),Buffalo,Defensive Line,Matt Rhule
2000,25,College (FBS),Buffalo,Defensive Line,Matt Rhule
2001,26,College (FBS),UCLA,Defensive Line,Matt Rhule
2002,27,College (FCS),Western Carolina,Special Teams/Linebackers,Matt Rhule
2003,28,College (FCS),Western Carolina,Associate Head Coach,Matt Rhule
2004,29,College (FCS),Western Carolina,Associate Head Coach,Matt Rhule
2005,30,College (FCS),Western Carolina,Associate Head Coach,Matt Rhule
2006,31,College (FBS),Temple,Defensive Line,Matt Rhule
2007,32,College (FBS),Temple,Quarterbacks,Matt Rhule
2008,33,College (FBS),Temple,Offensive Coordinator/Quarterbacks,Matt Rhule
2009,34,College (FBS),Temple,Offensive Coordinator/Quarterbacks,Matt Rhule
2010,35,College (FBS),Temple,Offensive Coordinator/Quarterbacks,Matt Rhule
2011,36,College (FBS),Temple,Offensive Coordinator/Tight Ends,Matt Rhule
2012,37,NFL,New York Giants,Asst. Offensive Line,Matt Rhule
2013,38,College (FBS),Temple,Head Coach,Matt Rhule
2014,39,College (FBS),Temple,Head Coach,Matt Rhule
2015,40,College (FBS),Temple,Head Coach,Matt Rhule
2016,41,College (FBS),Temple,Head Coach,Matt Rhule
2017,42,College (FBS),Baylor,Head Coach,Matt Rhule
2018,43,College (FBS),Baylor,Head Coach,Matt Rhule
2019,44,College (FBS),Baylor,Head Coach,Matt Rhule
2020,45,NFL,Carolina Panthers,Head Coach,Matt Rhule
2021,46,NFL,Carolina Panthers,Head Coach,Matt Rhule
2022,47,NFL,Carolina Panthers,Head Coach,Matt Rhule
2004,23,College (NCAA D-III),Mount Union,Defensive Backs,Nick Sirianni
2005,24,College (NCAA D-III),Mount Union,Defensive Backs,Nick Sirianni
2006,25,College (NCAA D-II),Indiana (PA),Wide Receivers,Nick Sirianni
2007,26,College (NCAA D-II),Indiana (PA),Wide Receivers,Nick Sirianni
2008,27,College (NCAA D-II),Indiana (PA),Wide Receivers,Nick Sirianni
2009,28,NFL,Kansas City Chiefs,Offensive Quality Control,Nick Sirianni
2010,29,NFL,Kansas City Chiefs,Asst. Quarterbacks,Nick Sirianni
2011,30,NFL,Kansas City Chiefs,Offensive Quality Control,Nick Sirianni
2012,31,NFL,Kansas City Chiefs,Wide Receivers,Nick Sirianni
2013,32,NFL,San Diego Chargers,Offensive Quality Control,Nick Sirianni
2014,33,NFL,San Diego Chargers,Quarterbacks,Nick Sirianni
2015,34,NFL,San Diego Chargers,Quarterbacks,Nick Sirianni
2016,35,NFL,San Diego Chargers,Wide Receivers,Nick Sirianni
2017,36,NFL,Los Angeles Chargers,Wide Receivers,Nick Sirianni
2018,37,NFL,Indianapolis Colts,Offensive Coordinator,Nick Sirianni
2019,38,NFL,Indianapolis Colts,Offensive Coordinator,Nick Sirianni
2020,39,NFL,Indianapolis Colts,Offensive Coordinator,Nick Sirianni
2021,40,NFL,Philadelphia Eagles,Head Coach,Nick Sirianni
2022,41,NFL,Philadelphia Eagles,Head Coach,Nick Sirianni
2006,24,College (FBS),Northern Illinois,Graduate Assistant,Brandon Staley
2007,25,College (FBS),Northern Illinois,Graduate Assistant,Brandon Staley
2008,26,College (FBS),Northern Illinois,Graduate Assistant,Brandon Staley
2009,27,College (NCAA D-III),St. Thomas (MN),Defensive Line/Special Teams,Brandon Staley
2010,28,College (NJCAA),Hutchinson (KS),Associate Head Coach/Defensive Coordinator,Brandon Staley
2011,29,College (NJCAA),Hutchinson (KS),Associate Head Coach/Defensive Coordinator,Brandon Staley
2012,30,College (FBS),Tennessee,Graduate Assistant,Brandon Staley
2013,31,College (NCAA D-III),John Carroll (OH),Defensive Coordinator/Secondary,Brandon Staley
2014,32,College (FCS),James Madison,Defensive Coordinator/Linebackers,Brandon Staley
2015,33,College (NCAA D-III),John Carroll (OH),Defensive Coordinator/Secondary,Brandon Staley
2016,34,College (NCAA D-III),John Carroll (OH),Defensive Coordinator/Secondary,Brandon Staley
2017,35,NFL,Chicago Bears,Outside Linebackers,Brandon Staley
2018,36,NFL,Chicago Bears,Outside Linebackers,Brandon Staley
2019,37,NFL,Denver Broncos,Outside Linebackers,Brandon Staley
2020,38,NFL,Los Angeles Rams,Defensive Coordinator,Brandon Staley
2021,39,NFL,Los Angeles Chargers,Head Coach,Brandon Staley
2022,40,NFL,Los Angeles Chargers,Head Coach,Brandon Staley
2010,34,NFL,Miami Dolphins,Offensive Coaching Intern,Dan Campbell
2011,35,NFL,Miami Dolphins,Tight Ends,Dan Campbell
2012,36,NFL,Miami Dolphins,Tight Ends,Dan Campbell
2013,37,NFL,Miami Dolphins,Tight Ends,Dan Campbell
2014,38,NFL,Miami Dolphins,Tight Ends,Dan Campbell
2015,39,NFL,Miami Dolphins,TE Coach/Interim Head Coach,Dan Campbell
2016,40,NFL,New Orleans Saints,Asst. HC/Tight Ends,Dan Campbell
2017,41,NFL,New Orleans Saints,Asst. HC/Tight Ends,Dan Campbell
2018,42,NFL,New Orleans Saints,Asst. HC/Tight Ends,Dan Campbell
2019,43,NFL,New Orleans Saints,Asst. HC/Tight Ends,Dan Campbell
2020,44,NFL,New Orleans Saints,Asst. HC/Tight Ends,Dan Campbell
2021,45,NFL,Detroit Lions,Head Coach,Dan Campbell
2022,46,NFL,Detroit Lions,Head Coach,Dan Campbell
1983,23,College (NAIA),Wayne State (NE),Defensive Backs/Special Teams,Rich Bisaccia
1984,24,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers,Rich Bisaccia
1985,25,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers,Rich Bisaccia
1986,26,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers,Rich Bisaccia
1987,27,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers,Rich Bisaccia
1988,28,College (FBS),South Carolina,Tight Ends/Wide Receivers (Graduate),Rich Bisaccia
1989,29,College (FBS),South Carolina,Defensive Ends/Special Teams (Volunteer),Rich Bisaccia
1990,30,College (FBS),South Carolina,Defensive Ends/Special Teams (Volunteer),Rich Bisaccia
1991,31,College (FBS),South Carolina,Tight Ends/Special Teams (Volunteer),Rich Bisaccia
1992,32,College (FBS),South Carolina,Running Backs/Special Teams,Rich Bisaccia
1993,33,College (FBS),South Carolina,Running Backs/Special Teams,Rich Bisaccia
1994,34,College (FBS),Clemson,Running Backs/Special Teams,Rich Bisaccia
1995,35,College (FBS),Clemson,Running Backs/Special Teams,Rich Bisaccia
1996,36,College (FBS),Clemson,Running Backs/Special Teams,Rich Bisaccia
1997,37,College (FBS),Clemson,Running Backs/Special Teams,Rich Bisaccia
1998,38,College (FBS),Clemson,Running Backs/Special Teams,Rich Bisaccia
1999,39,College (FBS),Ole Miss,Running Backs/Special Teams,Rich Bisaccia
2000,40,College (FBS),Ole Miss,Asst. Head Coach/Running Backs/Special Teams,Rich Bisaccia
2001,41,College (FBS),Ole Miss,Asst. Head Coach/Running Backs/Special Teams,Rich Bisaccia
2002,42,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2003,43,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2004,44,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2005,45,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2006,46,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2007,47,NFL,Tampa Bay Buccaneers,Special Teams,Rich Bisaccia
2008,48,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Running Backs/Special Teams,Rich Bisaccia
2009,49,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Special Teams,Rich Bisaccia
2010,50,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Special Teams,Rich Bisaccia
2011,51,NFL,San Diego Chargers,Special Teams Coordinator,Rich Bisaccia
2012,52,NFL,San Diego Chargers,Asst. Head Coach/Special Teams,Rich Bisaccia
2013,53,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams,Rich Bisaccia
2014,54,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams,Rich Bisaccia
2015,55,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams,Rich Bisaccia
2016,56,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams,Rich Bisaccia
2017,57,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams,Rich Bisaccia
2018,58,NFL,Oakland Raiders,Asst. Head Coach/Special Teams,Rich Bisaccia
2019,59,NFL,Oakland Raiders,Asst. Head Coach/Special Teams,Rich Bisaccia
2020,60,NFL,Las Vegas Raiders,Asst. Head Coach/Special Teams,Rich Bisaccia
2021,61,NFL,Las Vegas Raiders,Interim Head Coach/Special Teams,Rich Bisaccia
2022,62,NFL,Green Bay Packers,Special Teams,Rich Bisaccia
2006,24,College (FBS),North Carolina,Graduate Assistant,Arthur Smith
2007,25,NFL,Washington Redskins,Defensive Quality Assistant,Arthur Smith
2008,26,NFL,Washington Redskins,Defensive Quality Assistant,Arthur Smith
2010,28,College (FBS),Ole Miss,Defensive Intern,Arthur Smith
2011,29,NFL,Tennessee Titans,Defensive Quality Control,Arthur Smith
2012,30,NFL,Tennessee Titans,Offensive Quality Control,Arthur Smith
2013,31,NFL,Tennessee Titans,OL/Tight Ends,Arthur Smith
2014,32,NFL,Tennessee Titans,Asst. Tight Ends,Arthur Smith
2015,33,NFL,Tennessee Titans,Asst. Tight Ends,Arthur Smith
2016,34,NFL,Tennessee Titans,Tight Ends,Arthur Smith
2017,35,NFL,Tennessee Titans,Tight Ends,Arthur Smith
2018,36,NFL,Tennessee Titans,Tight Ends,Arthur Smith
2019,37,NFL,Tennessee Titans,Offensive Coordinator,Arthur Smith
2020,38,NFL,Tennessee Titans,Offensive Coordinator,Arthur Smith
2021,39,NFL,Atlanta Falcons,Head Coach,Arthur Smith
2022,40,NFL,Atlanta Falcons,Head Coach,Arthur Smith
2002,23,College (FBS),Michigan State,Defensive Assistant,Robert Saleh
2003,24,College (FBS),Michigan State,Defensive Assistant,Robert Saleh
2004,25,College (FBS),Central Michigan,Defensive Assistant,Robert Saleh
2005,26,College (FBS),Georgia,Defensive Assistant,Robert Saleh
2005,26,NFL,Houston Texans,Defensive Intern,Robert Saleh
2006,27,NFL,Houston Texans,Defensive Quality Control,Robert Saleh
2007,28,NFL,Houston Texans,Defensive Quality Control,Robert Saleh
2008,29,NFL,Houston Texans,Defensive Quality Control,Robert Saleh
2009,30,NFL,Houston Texans,Asst. Linebackers,Robert Saleh
2010,31,NFL,Houston Texans,Asst. Linebackers,Robert Saleh
2011,32,NFL,Seattle Seahawks,Defensive Quality Control,Robert Saleh
2012,33,NFL,Seattle Seahawks,Defensive Quality Control,Robert Saleh
2013,34,NFL,Seattle Seahawks,Defensive Quality Control,Robert Saleh
2014,35,NFL,Jacksonville Jaguars,Linebackers,Robert Saleh
2015,36,NFL,Jacksonville Jaguars,Linebackers,Robert Saleh
2016,37,NFL,Jacksonville Jaguars,Linebackers,Robert Saleh
2017,38,NFL,San Francisco 49ers,Defensive Coordinator,Robert Saleh
2018,39,NFL,San Francisco 49ers,Defensive Coordinator,Robert Saleh
2019,40,NFL,San Francisco 49ers,Defensive Coordinator,Robert Saleh
2020,41,NFL,San Francisco 49ers,Defensive Coordinator,Robert Saleh
2021,42,NFL,New York Jets,Head Coach,Robert Saleh
2022,43,NFL,New York Jets,Head Coach,Robert Saleh
1996,26,College,Westmar,Passing Game/Quarterbacks,Darrell Bevell
1997,27,College,Iowa State,Graduate Assistant,Darrell Bevell
1998,28,College,Connecticut,Wide Receivers,Darrell Bevell
1999,29,College,Connecticut,Wide Receivers,Darrell Bevell
2000,30,NFL,Green Bay Packers,Offensive Asst.,Darrell Bevell
2001,31,NFL,Green Bay Packers,Offensive Asst.,Darrell Bevell
2002,32,NFL,Green Bay Packers,Offensive Asst.,Darrell Bevell
2003,33,NFL,Green Bay Packers,Quarterbacks,Darrell Bevell
2004,34,NFL,Green Bay Packers,Quarterbacks,Darrell Bevell
2005,35,NFL,Green Bay Packers,Quarterbacks,Darrell Bevell
2006,36,NFL,Minnesota Vikings,Offensive Coordinator,Darrell Bevell
2007,37,NFL,Minnesota Vikings,Offensive Coordinator,Darrell Bevell
2008,38,NFL,Minnesota Vikings,Offensive Coordinator,Darrell Bevell
2009,39,NFL,Minnesota Vikings,Offensive Coordinator,Darrell Bevell
2010,40,NFL,Minnesota Vikings,Offensive Coordinator,Darrell Bevell
2011,41,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2012,42,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2013,43,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2014,44,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2015,45,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2016,46,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2017,47,NFL,Seattle Seahawks,Offensive Coordinator,Darrell Bevell
2019,49,NFL,Detroit Lions,Offensive Coordinator,Darrell Bevell
2020,50,NFL,Detroit Lions,Offensive Coordinator,Darrell Bevell
2021,51,NFL,Jacksonville Jaguars,Offensive Coordinator,Darrell Bevell
1958,28,College,Virginia,Defensive Backs,Don Shula
1959,29,College,Kentucky,Defensive Backs,Don Shula
1960,30,NFL,Detroit Lions,Defensive Backs,Don Shula
1961,31,NFL,Detroit Lions,Defensive Coordinator,Don Shula
1962,32,NFL,Detroit Lions,Defensive Coordinator,Don Shula
1963,33,NFL,Baltimore Colts,Head Coach,Don Shula
1964,34,NFL,Baltimore Colts,Head Coach,Don Shula
1965,35,NFL,Baltimore Colts,Head Coach,Don Shula
1966,36,NFL,Baltimore Colts,Head Coach,Don Shula
1967,37,NFL,Baltimore Colts,Head Coach,Don Shula
1968,38,NFL,Baltimore Colts,Head Coach,Don Shula
1969,39,NFL,Baltimore Colts,Head Coach,Don Shula
1970,40,NFL,Miami Dolphins,Head Coach,Don Shula
1971,41,NFL,Miami Dolphins,Head Coach,Don Shula
1972,42,NFL,Miami Dolphins,Head Coach,Don Shula
1973,43,NFL,Miami Dolphins,Head Coach,Don Shula
1974,44,NFL,Miami Dolphins,Head Coach,Don Shula
1975,45,NFL,Miami Dolphins,Head Coach,Don Shula
1976,46,NFL,Miami Dolphins,Head Coach,Don Shula
1977,47,NFL,Miami Dolphins,Head Coach,Don Shula
1978,48,NFL,Miami Dolphins,Head Coach,Don Shula
1979,49,NFL,Miami Dolphins,Head Coach,Don Shula
1980,50,NFL,Miami Dolphins,Head Coach,Don Shula
1981,51,NFL,Miami Dolphins,Head Coach,Don Shula
1982,52,NFL,Miami Dolphins,Head Coach,Don Shula
1983,53,NFL,Miami Dolphins,Head Coach,Don Shula
1984,54,NFL,Miami Dolphins,Head Coach,Don Shula
1985,55,NFL,Miami Dolphins,Head Coach,Don Shula
1986,56,NFL,Miami Dolphins,Head Coach,Don Shula
1987,57,NFL,Miami Dolphins,Head Coach,Don Shula
1988,58,NFL,Miami Dolphins,Head Coach,Don Shula
1989,59,NFL,Miami Dolphins,Head Coach,Don Shula
1990,60,NFL,Miami Dolphins,Head Coach,Don Shula
1991,61,NFL,Miami Dolphins,Head Coach,Don Shula
1992,62,NFL,Miami Dolphins,Head Coach,Don Shula
1993,63,NFL,Miami Dolphins,Head Coach,Don Shula
1994,64,NFL,Miami Dolphins,Head Coach,Don Shula
1995,65,NFL,Miami Dolphins,Head Coach,Don Shula
1920,25,NFL,Decatur Staleys,Head Coach,George Halas
1921,26,NFL,Chicago Staleys,Head Coach,George Halas
1922,27,NFL,Chicago Bears,Head Coach,George Halas
1923,28,NFL,Chicago Bears,Head Coach,George Halas
1924,29,NFL,Chicago Bears,Head Coach,George Halas
1925,30,NFL,Chicago Bears,Head Coach,George Halas
1926,31,NFL,Chicago Bears,Head Coach,George Halas
